"ID","Geslacht","Leeftijd","Perioden","TotaalDodelijkeOngevallen_1","TotaalDodelijkeVervoersongevallen_2","Voetganger_3","Fiets_4","BromEnSnorfietsEnBrommobiel_5","GemotInvalidenvoertuigScootmobiel_6","Motorfiets_7","Personenauto_8","BestelautoVrachtauto_9","OverigOnbekend_10","AccidenteleVal_11","AccidenteleVerdrinking_12","TotaalAccidenteleVergiftiging_13","Medicijnen_14","Drugs_15","Alcohol_16","OverigOnbekend_17","TotaalOverigeDodelijkeOngevallen_18","MechanischEffect_19","RookVuurEnVlammen_20","Verstikking_21","OverigInclLaatGevolg_22","TotaalDodelijkeOngevallen_23","DodelijkeVervoersongevallen_24","AccidenteleVal_25","AccidenteleVerdrinking_26","AccidenteleVergiftigingInclOpzetOnb_27","OverigeDodelijkeOngevallen_28"
167,"1100","60800","2003JJ00","     480","     112","      14","      46","      10","       5","       0","      29","       0","       8","     314","      11","       7","       4","       0","       1","       2","      36","       1","       4","      11","      20","    46.7","    10.9","    30.5","     1.1","     0.7","     3.5"
168,"1100","60800","2004JJ00","     481","     102","      13","      35","      10","       5","       0","      33","       1","       5","     308","       8","      10","       4","       0","       1","       5","      53","       5","       7","      11","      30","    46.5","     9.9","    29.8","     0.8","     1.0","     5.1"
169,"1100","60800","2005JJ00","     505","     111","      15","      44","       8","       5","       2","      32","       0","       5","     308","      10","       8","       4","       0","       0","       4","      68","       5","      11","      18","      34","    48.4","    10.6","    29.5","     1.0","     0.8","     6.5"
170,"1100","60800","2006JJ00","     503","      99","       9","      43","       9","       6","       0","      29","       1","       2","     327","      10","       7","       5","       2","       0","       0","      60","       2","      12","      11","      35","    47.7","     9.4","    31.0","     0.9","     0.7","     5.7"
171,"1100","60800","2007JJ00","     498","     106","      16","      45","       4","       3","       0","      29","       3","       6","     313","       8","       6","       5","       0","       1","       0","      65","       0","       2","      11","      52","    46.7","     9.9","    29.3","     0.7","     0.6","     6.1"
172,"1100","60800","2008JJ00","     547","     103","      11","      45","       6","       5","       0","      31","       0","       5","     328","       7","       5","       1","       1","       1","       2","     104","       4","      11","      24","      65","    50.5","     9.5","    30.3","     0.6","     0.5","     9.6"
173,"1100","60800","2009JJ00","     539","      92","      10","      44","       7","       2","       1","      27","       0","       1","     336","       7","      10","       7","       0","       0","       3","      94","       5","       6","      22","      61","    48.8","     8.3","    30.4","     0.6","     0.9","     8.5"
174,"1100","60800","2010JJ00","     522","      86","      10","      40","       4","       1","       1","      20","       1","       9","     322","       7","       6","       3","       2","       0","       1","     101","       6","       2","      22","      71","    46.4","     7.6","    28.6","     0.6","     0.5","     9.0"
175,"1100","60800","2011JJ00","     575","     103","      13","      45","       5","       9","       0","      25","       1","       5","     359","      13","      11","       6","       0","       1","       4","      89","       3","       8","       9","      69","    50.1","     9.0","    31.3","     1.1","     1.0","     7.8"
176,"1100","60800","2012JJ00","     611","     112","      13","      63","       8","       4","       2","      20","       0","       2","     394","      14","      10","       6","       1","       0","       3","      81","       6","       3","       5","      67","    52.3","     9.6","    33.7","     1.2","     0.9","     6.9"
177,"1100","60800","2013JJ00","     614","     103","      13","      53","       6","      10","       0","      15","       1","       5","     389","      12","      12","       5","       3","       1","       3","      98","       3","      11","       6","      78","    51.3","     8.6","    32.5","     1.0","     1.0","     8.2"
178,"1100","60800","2014JJ00","     647","     109","       5","      56","       6","       7","       2","      30","       0","       3","     429","       8","      10","       6","       1","       2","       1","      91","       5","       8","       5","      73","    52.3","     8.8","    34.7","     0.6","     0.8","     7.4"
179,"1100","60800","2015JJ00","     709","     101","       7","      49","       3","      12","       0","      23","       0","       7","     467","      13","      11","       5","       2","       1","       3","     117","       4","       4","       7","     102","    55.6","     7.9","    36.7","     1.0","     0.9","     9.2"
180,"1100","21700","1996JJ00","    1291","     100","      20","      35","      10","       0","       0","      30","       0","       5","    1132","       3","       7","       1","       0","       0","       6","      49","       6","      21","       9","      13","   266.5","    20.6","   233.7","     0.6","     1.4","    10.1"
181,"1100","21700","1997JJ00","    1236","     103","      28","      40","       8","       3","       0","      22","       0","       2","    1076","       7","       4","       0","       0","       0","       4","      46","       5","      13","       8","      20","   252.1","    21.0","   219.5","     1.4","     0.8","     9.4"
182,"1100","21700","1998JJ00","    1176","      73","      20","      23","       2","       0","       2","      22","       0","       4","    1046","       4","       2","       1","       0","       0","       1","      51","       3","      24","       8","      16","   237.7","    14.8","   211.5","     0.8","     0.4","    10.3"
183,"1100","21700","1999JJ00","    1377","      92","      21","      29","       6","       3","       1","      30","       0","       2","    1234","       2","       1","       0","       0","       0","       1","      48","       2","      21","      10","      15","   276.4","    18.5","   247.7","     0.4","     0.2","     9.6"
184,"1100","21700","2000JJ00","    1268","      76","      16","      28","       6","       4","       0","      18","       0","       4","    1131","       8","       6","       2","       0","       0","       4","      47","       1","      16","      15","      15","   249.4","    14.9","   222.4","     1.6","     1.2","     9.2"
185,"1100","21700","2001JJ00","    1618","      87","      28","      28","       4","       4","       0","      21","       1","       1","    1458","       8","       6","       4","       1","       0","       1","      59","       5","      15","       9","      30","   308.7","    16.6","   278.2","     1.5","     1.1","    11.3"
